dps310_pressure,dps310_temp,bno08x_accel_z,bno08x_accel_x,bno08x_accel_y,timestamp
,,-0.113281,0.691406,-9.92578,1725197567732
972.709,35.9315,,,,1725197567827
,,-0.191406,0.191406,-9.96484,1725197567888
972.706,35.9315,,,,1725197567975
,,0.269531,0.957031,-9.73047,1725197568035
972.707,35.9386,,,,1725197568148
,,0.304688,0.726563,-9.76953,1725197568210
972.705,35.942,,,,1725197568295
,,0.304688,0.917969,-9.72656,1725197568354
972.704,35.942,,,,1725197568470
,,1.53125,0.535156,-10.0703,1725197568535
972.704,35.9389,,,,1725197568622
,,1.03516,0.84375,-9.96484,1725197568684
972.705,35.9437,,,,1725197568801
,,-0.191406,0.882813,-9.6875,1725197568862
972.703,35.9514,,,,1725197568955
,,0.613281,0.691406,-9.88281,1725197569014
972.705,35.9471,,,,1725197569127
,,0.535156,0.84375,-10.0313,1725197569189
972.703,35.9471,,,,1725197569279
,,-0.460938,0.804688,-10.0,1725197569340
972.706,35.9525,,,,1725197569456
,,0.496094,0.726563,-9.76563,1725197569518
972.705,35.948,,,,1725197569606
,,0.652344,0.34375,-10.0039,1725197569666
972.702,35.9542,,,,1725197569788
,,0.113281,0.691406,-9.84375,1725197569846
972.703,35.9542,,,,1725197569939
,,0.996094,0.652344,-9.80469,1725197570002
972.701,35.9602,,,,1725197570118
,,0.804688,0.535156,-9.72656,1725197570180
972.702,35.9613,,,,1725197570283
,,1.07422,0.84375,-10.0,1725197570346
972.702,35.9669,,,,1725197570465
,,0.535156,0.691406,-9.65234,1725197570523
972.703,35.9653,,,,1725197570616
,,-0.230469,1.10938,-10.0742,1725197570677
972.704,35.9593,,,,1725197570783
,,0.574219,0.613281,-9.80859,1725197570848
972.702,35.9593,,,,1725197570940
,,0.691406,0.765625,-10.0313,1725197571002
972.706,35.9687,,,,1725197571109
,,0.535156,0.152344,-9.76563,1725197571170
972.707,35.9738,,,,1725197571262
,,0.078125,0.691406,-9.84375,1725197571324
972.708,35.9695,,,,1725197571429
,,1.07422,0.460938,-9.53906,1725197571489
972.705,35.9695,,,,1725197571582
,,0.230469,0.804688,-9.73047,1725197571642
972.706,35.9741,,,,1725197571749
,,0.574219,0.882813,-9.80859,1725197571812
972.707,35.982,,,,1725197571904
,,0.882813,0.765625,-10.2266,1725197571965
972.71,35.9786,,,,1725197572051
,,0.421875,0.84375,-9.76953,1725197572132
972.71,35.9786,,,,1725197572227
,,0.0,0.917969,-10.0039,1725197572289
972.71,35.9797,,,,1725197572382
,,0.496094,0.84375,-9.80469,1725197572461
972.711,35.9877,,,,1725197572548
,,0.34375,0.574219,-9.96094,1725197572608
972.711,35.984,,,,1725197572695
,,0.652344,0.765625,-9.84375,1725197572757
972.71,35.9885,,,,1725197572872
,,-0.382813,1.03516,-10.0039,1725197572935
972.709,35.9885,,,,1725197573023
,,0.269531,0.652344,-9.80469,1725197573091
972.707,35.993,,,,1725197573196
,,0.152344,0.496094,-9.58203,1725197573259
972.707,35.9942,,,,1725197573345
,,0.113281,0.613281,-9.80469,1725197573406
972.702,35.9863,,,,1725197573522
,,-0.460938,0.882813,-10.0039,1725197573583
972.702,35.9863,,,,1725197573673
,,0.765625,0.496094,-9.80859,1725197573732
972.705,35.9959,,,,1725197573859
,,0.269531,0.917969,-9.80469,1725197573919
972.704,35.9956,,,,1725197574020
,,0.304688,0.84375,-9.76953,1725197574082
972.704,35.9979,,,,1725197574196
,,0.0,0.917969,-9.80469,1725197574258
972.707,36.0004,,,,1725197574348
,,0.652344,0.421875,-9.72656,1725197574413
972.708,36.0052,,,,1725197574530
,,0.152344,0.726563,-9.64844,1725197574592
972.704,36.0052,,,,1725197574681
,,0.496094,0.613281,-9.76563,1725197574742
972.698,36.0035,,,,1725197574857
,,0.191406,0.996094,-9.76953,1725197574918
972.698,36.005,,,,1725197575004
,,0.996094,0.996094,-10.2305,1725197575064
972.698,36.0089,,,,1725197575174
,,0.191406,0.917969,-9.6875,1725197575233
972.697,36.0089,,,,1725197575332
,,0.613281,0.726563,-9.84766,1725197575403
972.697,36.0092,,,,1725197575513
,,0.382813,0.726563,-9.84766,1725197575575
972.698,36.0186,,,,1725197575659
,,0.382813,0.691406,-9.72656,1725197575720
972.697,35.9953,,,,1725197575804
,,0.574219,0.765625,-9.84766,1725197575887
972.694,35.9953,,,,1725197575971
,,0.191406,0.652344,-9.6875,1725197576030
972.696,36.014,,,,1725197576121
,,0.304688,1.07422,-10.1094,1725197576201
972.696,36.0138,,,,1725197576295
,,0.460938,0.496094,-9.80469,1725197576356
972.7,36.0175,,,,1725197576446
,,0.269531,0.84375,-10.0039,1725197576528
972.698,36.024,,,,1725197576613
,,0.269531,0.882813,-9.84766,1725197576674
972.701,36.024,,,,1725197576759
,,0.460938,0.113281,-9.80469,1725197576825
972.7,36.0251,,,,1725197576936
,,0.691406,0.230469,-9.60938,1725197576997
972.701,36.033,,,,1725197577080
,,0.152344,1.03516,-9.88672,1725197577139
972.7,36.0265,,,,1725197577252
,,0.726563,0.652344,-9.84766,1725197577312
972.699,36.0265,,,,1725197577398
,,0.535156,0.652344,-9.60938,1725197577457
972.698,36.0293,,,,1725197577569
,,0.496094,0.765625,-9.92578,1725197577633
972.697,36.0237,,,,1725197577721
,,0.078125,0.765625,-9.6875,1725197577780
972.698,36.0308,,,,1725197577892
,,0.84375,0.765625,-10.2266,1725197577952
972.699,36.0308,,,,1725197578036
,,0.421875,0.917969,-9.80859,1725197578096
972.698,36.0362,,,,1725197578203
,,0.765625,0.917969,-10.0703,1725197578262
972.698,36.041,,,,1725197578362
,,0.269531,0.804688,-9.72656,1725197578423
972.698,36.0447,,,,1725197578530
,,0.613281,0.652344,-9.80469,1725197578591
972.696,36.0447,,,,1725197578677
,,0.304688,0.382813,-9.46094,1725197578736
972.693,36.0279,,,,1725197578843
,,1.10938,0.269531,-10.0,1725197578903
972.697,36.0554,,,,1725197578987
,,0.535156,0.804688,-10.0352,1725197579052
972.696,36.048,,,,1725197579139
,,0.191406,0.613281,-9.72656,1725197579220
972.694,36.048,,,,1725197579312
,,0.996094,0.496094,-9.84766,1725197579373
972.696,36.0549,,,,1725197579465
,,-0.269531,0.535156,-9.76563,1725197579544
972.696,36.0512,,,,1725197579630
,,0.078125,0.804688,-9.6875,1725197579690
972.7,36.0577,,,,1725197579781
,,0.382813,0.460938,-9.76563,1725197579862
972.7,36.06,,,,1725197579947
,,0.078125,0.613281,-9.60938,1725197580007
972.703,36.06,,,,1725197580093
,,0.691406,0.765625,-9.64844,1725197580153
972.705,36.0569,,,,1725197580264
,,0.460938,0.691406,-10.0,1725197580327
972.706,36.062,,,,1725197580418
,,0.496094,0.84375,-9.80469,1725197580478
972.703,36.0637,,,,1725197580595
,,0.804688,0.804688,-9.88672,1725197580658
972.702,36.0637,,,,1725197580742
,,0.726563,0.691406,-10.0703,1725197580802
972.7,36.0668,,,,1725197580918
,,0.421875,1.30078,-9.69141,1725197580976
972.699,36.0634,,,,1725197581069
,,0.574219,0.574219,-9.96484,1725197581135
972.699,36.0781,,,,1725197581246
,,0.34375,0.917969,-9.42188,1725197581315
972.697,36.0775,,,,1725197581413
,,0.535156,0.652344,-9.42188,1725197581471
972.702,36.0775,,,,1725197581591
,,0.269531,0.957031,-9.76563,1725197581652
972.707,36.0826,,,,1725197581734
,,0.382813,0.882813,-9.84766,1725197581795
972.707,36.0801,,,,1725197581909
,,0.152344,0.726563,-10.0742,1725197581970
972.707,36.0835,,,,1725197582059
,,0.078125,-0.0390625,-9.54297,1725197582121
972.703,36.0863,,,,1725197582239
,,0.535156,0.230469,-9.6875,1725197582299
972.697,36.0863,,,,1725197582382
,,0.113281,0.304688,-10.1133,1725197582453
972.7,36.0849,,,,1725197582566
,,0.113281,0.113281,-9.88672,1725197582627
972.7,36.0892,,,,1725197582712
,,-0.152344,0.382813,-9.54297,1725197582772
972.697,36.0846,,,,1725197582884
,,-0.421875,0.460938,-9.76953,1725197582944
972.7,36.0846,,,,1725197583028
,,0.269531,0.34375,-9.69141,1725197583091
972.701,36.0898,,,,1725197583197
,,0.0,0.613281,-9.76563,1725197583257
972.701,36.0877,,,,1725197583350
,,-0.0390625,0.613281,-9.73047,1725197583410
972.7,36.088,,,,1725197583520
,,0.078125,0.574219,-10.0352,1725197583587
972.695,36.088,,,,1725197583674
,,-0.382813,0.882813,-9.60938,1725197583734
972.695,36.0929,,,,1725197583821
,,0.078125,0.613281,-9.60938,1725197583903
972.695,36.0946,,,,1725197583997
,,0.078125,0.613281,-10.0313,1725197584055
972.694,36.0948,,,,1725197584150
,,0.304688,0.496094,-9.88281,1725197584233
972.695,36.0999,,,,1725197584325
,,-0.230469,0.691406,-9.50391,1725197584387
972.696,36.0999,,,,1725197584472
,,0.535156,0.691406,-9.92578,1725197584534
972.692,36.0988,,,,1725197584644
,,0.230469,0.535156,-10.0,1725197584706
972.692,36.0991,,,,1725197584799
,,0.078125,0.691406,-9.53906,1725197584858
972.69,36.098,,,,1725197584971
,,-0.152344,0.535156,-9.80469,1725197585030
972.695,36.098,,,,1725197585122
,,0.113281,0.460938,-9.64844,1725197585184
972.7,36.1042,,,,1725197585299
,,-0.078125,0.726563,-9.73047,1725197585357
972.701,36.1073,,,,1725197585444
,,0.269531,0.269531,-10.0039,1725197585507
972.7,36.1178,,,,1725197585619
,,0.191406,0.652344,-9.76953,1725197585680
972.698,36.1178,,,,1725197585765
,,-0.421875,0.421875,-9.60938,1725197585831
972.703,36.1153,,,,1725197585944
,,0.230469,0.535156,-10.0,1725197586007
972.706,36.1229,,,,1725197586095
,,-0.269531,0.574219,-9.61328,1725197586156
972.706,36.1215,,,,1725197586279
,,0.613281,0.691406,-9.88281,1725197586340
972.706,36.1266,,,,1725197586434
,,0.0,0.535156,-9.76563,1725197586496
972.702,36.119,,,,1725197586621
,,-0.191406,0.460938,-9.84375,1725197586686
972.697,36.119,,,,1725197586778
,,0.0,0.34375,-9.80469,1725197586840
972.703,36.128,,,,1725197586958
,,-0.191406,0.34375,-9.72656,1725197587020
972.703,36.1286,,,,1725197587111
,,0.34375,0.34375,-9.60938,1725197587173
972.705,36.1286,,,,1725197587285
,,0.113281,0.765625,-10.0703,1725197587345
972.706,36.1388,,,,1725197587439
,,0.0390625,-0.152344,-9.58203,1725197587501
972.709,36.1402,,,,1725197587609
,,0.34375,0.726563,-9.84766,1725197587674
972.709,36.1362,,,,1725197587760
,,0.191406,0.0390625,-9.96094,1725197587820
972.708,36.1362,,,,1725197587934
,,0.113281,0.613281,-10.0313,1725197587997
972.708,36.1362,,,,1725197588085
,,0.113281,-0.382813,-9.73047,1725197588149
972.709,36.1416,,,,1725197588237
,,0.496094,0.726563,-9.96484,1725197588319
972.708,36.1408,,,,1725197588408
,,-0.0390625,0.691406,-10.0352,1725197588468
972.71,36.1408,,,,1725197588559
,,-0.496094,-0.078125,-9.58203,1725197588642
972.712,36.1447,,,,1725197588728
,,0.0390625,0.34375,-9.84766,1725197588789
972.711,36.1374,,,,1725197588882
,,-0.078125,0.804688,-9.84375,1725197588940
972.711,36.1399,,,,1725197589051
,,0.230469,0.496094,-10.1133,1725197589112
972.707,36.1399,,,,1725197589205
,,0.230469,0.152344,-9.57813,1725197589265
972.704,36.1487,,,,1725197589389
,,0.304688,0.691406,-9.92188,1725197589450
972.705,36.1581,,,,1725197589543
,,-0.421875,0.882813,-9.57813,1725197589608
972.704,36.1507,,,,1725197589728
,,-0.304688,0.691406,-10.0039,1725197589793
972.704,36.157,,,,1725197589894
,,0.460938,0.691406,-9.57813,1725197589955
972.701,36.1533,,,,1725197590069
,,-0.460938,0.382813,-9.88672,1725197590129
972.702,36.1533,,,,1725197590221
,,0.726563,0.726563,-10.0742,1725197590283
972.7,36.147,,,,1725197590403
,,0.113281,0.652344,-9.60938,1725197590465
972.701,36.1572,,,,1725197590549
,,0.078125,0.691406,-9.84375,1725197590609
972.703,36.1584,,,,1725197590726
,,0.191406,0.535156,-9.92578,1725197590788
972.707,36.155,,,,1725197590874
,,-0.269531,0.691406,-9.84375,1725197590934
972.706,36.155,,,,1725197591054
,,0.078125,0.34375,-9.73047,1725197591116
972.701,36.1601,,,,1725197591215
,,-0.421875,0.421875,-9.84766,1725197591274
972.697,36.1606,,,,1725197591397
,,-0.269531,0.191406,-10.2266,1725197591457
972.697,36.1606,,,,1725197591550
,,-0.84375,0.691406,-9.65234,1725197591611
972.691,36.162,,,,1725197591731
,,0.191406,0.421875,-9.88672,1725197591795
972.694,36.162,,,,1725197591888
,,-0.078125,0.230469,-10.0703,1725197591955
972.699,36.1618,,,,1725197592060
,,0.113281,0.613281,-9.96484,1725197592122
972.699,36.1657,,,,1725197592210
,,-0.230469,0.269531,-9.61328,1725197592269
972.703,36.1697,,,,1725197592385
,,-0.152344,0.535156,-9.92188,1725197592444
972.705,36.1663,,,,1725197592543
,,0.230469,0.460938,-9.92578,1725197592606
972.7,36.1663,,,,1725197592731
,,-1.22656,0.382813,-10.0039,1725197592793
972.699,36.1697,,,,1725197592879
,,-0.191406,0.421875,-9.96484,1725197592941
972.698,36.1612,,,,1725197593055
,,-0.382813,0.421875,-9.72656,1725197593117
972.698,36.1788,,,,1725197593202
,,-0.34375,0.652344,-10.1094,1725197593262
972.701,36.1819,,,,1725197593379
,,-0.804688,0.882813,-9.38281,1725197593444
972.705,36.1819,,,,1725197593531
,,0.078125,0.613281,-9.76563,1725197593591
972.705,36.1862,,,,1725197593700
,,0.269531,0.152344,-10.0313,1725197593759
972.705,36.1878,,,,1725197593845
,,-0.304688,0.652344,-9.76953,1725197593905
972.708,36.1844,,,,1725197594012
,,-0.34375,0.34375,-9.64844,1725197594072
972.708,36.1844,,,,1725197594161
,,-0.078125,0.421875,-9.80859,1725197594221
972.709,36.1935,,,,1725197594307
,,0.113281,0.652344,-10.1914,1725197594388
972.708,36.1895,,,,1725197594476
,,0.230469,0.230469,-9.58203,1725197594536
972.708,36.1895,,,,1725197594627
,,0.113281,0.691406,-9.53906,1725197594708
972.707,36.1895,,,,1725197594793
,,0.152344,0.574219,-9.88281,1725197594853
972.708,36.189,,,,1725197594944
,,0.882813,0.230469,-9.53906,1725197595003
972.709,36.1964,,,,1725197595122
,,-0.0390625,0.269531,-10.0313,1725197595181
972.71,36.1961,,,,1725197595264
,,0.078125,0.382813,-9.54297,1725197595325
972.71,36.1961,,,,1725197595436
,,0.421875,0.113281,-9.76953,1725197595497
972.709,36.2057,,,,1725197595588
,,0.113281,0.460938,-10.0313,1725197595653
972.709,36.2063,,,,1725197595758
,,0.078125,0.0,-9.69141,1725197595819
972.709,36.2017,,,,1725197595904
,,0.304688,0.535156,-10.0352,1725197595965
972.713,36.2017,,,,1725197596078
,,0.496094,0.304688,-10.0703,1725197596137
972.712,36.2066,,,,1725197596221
,,0.304688,0.191406,-10.1094,1725197596281
972.713,36.2094,,,,1725197596399
,,0.113281,0.460938,-9.80469,1725197596460
972.712,36.2035,,,,1725197596545
,,0.0390625,0.382813,-9.92188,1725197596604
972.709,36.2043,,,,1725197596723
,,-0.152344,0.269531,-9.54297,1725197596783
972.708,36.2043,,,,1725197596869
,,0.191406,0.460938,-9.61328,1725197596929
972.71,36.2077,,,,1725197597038
,,-0.191406,0.382813,-9.76953,1725197597097
972.711,36.2131,,,,1725197597195
,,0.304688,0.574219,-10.3867,1725197597257
972.709,36.2091,,,,1725197597363
,,-0.421875,0.726563,-10.2266,1725197597424
972.708,36.2091,,,,1725197597509
,,0.0390625,0.613281,-9.80469,1725197597569
972.708,36.2094,,,,1725197597655
,,0.574219,-0.078125,-9.84375,1725197597734
972.709,36.2168,,,,1725197597820
,,0.078125,0.0,-9.92188,1725197597887
972.708,36.2193,,,,1725197597971
,,-0.152344,0.191406,-9.6875,1725197598052
972.708,36.2193,,,,1725197598145
,,-0.230469,0.269531,-9.61328,1725197598205
972.706,36.2236,,,,1725197598304
,,0.078125,0.34375,-10.0039,1725197598387
972.705,36.2179,,,,1725197598471
,,-0.191406,0.269531,-9.88281,1725197598530
972.708,36.2236,,,,1725197598622
,,0.230469,-0.0390625,-10.0,1725197598682
972.709,36.225,,,,1725197598798
,,-0.113281,0.382813,-9.80469,1725197598863
972.71,36.225,,,,1725197598950
,,0.191406,0.269531,-10.1875,1725197599012
972.709,36.2238,,,,1725197599118
,,0.113281,0.304688,-9.72656,1725197599179
972.709,36.2278,,,,1725197599264
,,-0.269531,0.382813,-9.60938,1725197599330
972.709,36.2219,,,,1725197599445
,,-0.0390625,0.34375,-9.84766,1725197599505
972.709,36.2219,,,,1725197599591
,,-0.304688,0.152344,-9.6875,1725197599656
972.712,36.2335,,,,1725197599775
,,-0.496094,0.304688,-9.84375,1725197599835
972.712,36.2344,,,,1725197599919
,,-0.113281,0.269531,-9.64844,1725197599979
972.714,36.2318,,,,1725197600097
,,-0.113281,-0.152344,-10.0313,1725197600158
972.715,36.2346,,,,1725197600247
,,0.304688,0.535156,-10.0,1725197600305
972.717,36.2346,,,,1725197600414
,,-0.382813,-0.0390625,-9.54297,1725197600473
972.719,36.2307,,,,1725197600559
,,-0.613281,0.078125,-9.64844,1725197600619
972.72,36.2318,,,,1725197600728
,,-0.460938,0.421875,-9.53906,1725197600789
972.718,36.231,,,,1725197600903
,,0.0390625,0.34375,-9.76563,1725197600968
972.721,36.231,,,,1725197601062
,,-0.0390625,-0.535156,-9.80469,1725197601148
972.72,36.2335,,,,1725197601239
,,-0.421875,-0.0390625,-9.61328,1725197601304
972.72,36.2335,,,,1725197601394
,,-0.078125,0.113281,-9.69141,1725197601481
972.72,36.2335,,,,1725197601575
,,-0.113281,0.34375,-9.76563,1725197601647
972.718,36.2397,,,,1725197601752
,,-0.078125,0.535156,-9.73047,1725197601838
972.721,36.2434,,,,1725197601936
,,0.34375,0.0,-10.6094,1725197602002
972.719,36.2434,,,,1725197602097
,,-0.382813,0.535156,-9.64844,1725197602182
972.719,36.248,,,,1725197602281
,,0.230469,-0.078125,-10.3086,1725197602346
972.719,36.2491,,,,1725197602442
,,-0.304688,-0.191406,-9.16016,1725197602529
972.719,36.2525,,,,1725197602627
,,0.191406,0.230469,-10.0742,1725197602692
972.715,36.2539,,,,1725197602788
,,-0.191406,0.078125,-9.76953,1725197602873
972.715,36.2548,,,,1725197602970
